,18-Dec-2025
The Nifty witnessed an intraday movement of about 176.05 points.The closing index was 0.01 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 87865.32
, Traded Quantity (in Lakhs), 43797.69
, Number of Trades, 29913405
, Total Market Capitalisation (Rs. Crores), 46350554.12

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,HINDCOPPER,EQ,       368.20,       387.45,5.23,1125.43
,SHRIRAMFIN,EQ,       864.20,       869.45,0.61,1086.98
,INFY,EQ,      1602.00,      1626.80,1.55,1067.94
,SHAKTIPUMP,EQ,       707.40,       725.60,2.57,1031.47
,RELIANCE,EQ,      1544.40,      1544.40,0.00,1016.94
,IDEA,EQ,        11.13,        11.30,1.53,1003.81
,ICICIBANK,EQ,      1352.40,      1356.80,0.33,994.86
,SILVERBEES,EQ,       192.16,       193.26,0.57,977.83
,KAYNES,EQ,      4093.50,      4046.50,-1.15,925.88
,HINDZINC,EQ,       578.30,       592.15,2.39,907.31
,M&M,EQ,      3612.80,      3586.60,-0.73,872.98
,VEDL,EQ,       569.80,       579.15,1.64,851.58
,HBLENGINE,EQ,       762.80,       818.85,7.35,813.24
,BHARTIARTL,EQ,      2108.00,      2092.00,-0.76,789.86
,HDFCAMC,EQ,      2541.20,      2722.90,7.15,784.92
,WALCHANNAG,EQ,       174.46,       197.53,13.22,776.65
,NAM-INDIA,EQ,       865.05,       915.65,5.85,770.71
,TCS,EQ,      3217.80,      3280.80,1.96,752.32
,TMCV,EQ,       386.90,       401.05,3.66,747.88
,ROUTE,EQ,       680.50,       729.90,7.26,730.26

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,INDIGO,EQ,      5115.50,      4980.50,2.71
,TCS,EQ,      3280.80,      3217.80,1.96
,MAXHEALTH,EQ,      1048.50,      1031.10,1.69
,TECHM,EQ,      1605.60,      1579.40,1.66
,INFY,EQ,      1626.80,      1602.00,1.55

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,SUNPHARMA,EQ,      1745.90,      1792.90,-2.62
,TATASTEEL,EQ,       168.12,       170.34,-1.30
,POWERGRID,EQ,       257.95,       261.10,-1.21
,ASIANPAINT,EQ,      2759.70,      2785.70,-0.93
,NTPC,EQ,       318.50,       321.25,-0.86

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE,TRADED QUANTITY
,0MOFSL27,N3,      1150.00,                    49450.00,43
,1003IIFL29,NC,       997.00,                    31951.84,32
,1003ISFL28,N4,      1010.00,                   102670.13,102
,1003SCL30A,NV,       769.99,                     1539.98,2
,1015ECL29,NR,      1021.00,                   345085.99,338
,1018GS2026,GS,       105.79,                     2010.28,19
