SYMBOL,SYMBOL P/E,ADJUSTED P/E
GLENMARK,72.94,44.20
RAJESHEXPO,160.37,160.37
SHREERAMA,14.91,14.91
BLUECOAST,0.76,
NRBBEARING,30.83,137.75
IOB,17.12,17.12
GVPIL,110.20,110.20
BIL,51.88,51.88
KTKBANK,6.46,6.46
BLBLIMITED,11.90,11.90
AJANTPHARM,34.93,34.93
BLUESTARCO,68.77,70.00
CALSOFT,31.91,31.91
TVSMOTOR,333.22,333.22
PNBGILTS,4.17,4.20
TAJGVK,19.92,19.92
NLCINDIA,11.23,11.23
KRBL,16.48,16.48
HAVELLS,62.14,62.14
GAEL,22.42,22.42
USHAMART,36.02,36.02
AXISCADES,64.17,61.55
BALAJITELE,15.33,15.33
UMIYA-MRO,4.39,4.39
TIPSMUSIC,41.56,41.56
HIKAL,46.42,46.42
TRIDENT,31.50,31.50
MARKSANS,30.75,30.75
NEXTMEDIA,0.68,
GOLDTECH,16.84,
SMARTLINK,14.22,14.22
GODREJCP,65.11,63.30
JISLJALEQS,109.59,109.59
LUPIN,25.93,25.93
UNITDSPR,67.92,65.54
TCI,23.00,23.00
MPSLTD,21.80,22.40
BHARTIARTL,32.22,38.59
ASAL,49.84,49.84
OLECTRA,69.00,68.75
PONNIERODE,15.15,21.99
PNB,8.82,8.82
APTECHT,27.31,26.92
SURANAT&P,11.05,11.10
TEAMGTY,104.61,104.61
OFSS,27.91,27.91
UNIONBANK,6.33,6.33
NUCLEUS,14.38,14.38
CANBK,8.33,8.33
GENESYS,29.90,29.90
OMAXAUTO,8.34,22.82
GODREJIND,22.20,22.20
DIVISLAB,72.45,72.45
RADICO,103.09,101.74
INDORAMA,16.55,16.55
MARUTI,36.02,36.02
VARDHACRLC,32.47,32.47
UCOBANK,14.28,14.28
BAGFILMS,11.90,11.90
JSL,25.34,25.29
NSIL,81.01,81.01
WELSPUNLIV,23.45,23.45
JAIBALAJI,13.32,13.32
IGL,20.67,20.67
TVTODAY,26.32,26.32
UPL,39.51,31.88
MUKANDLTD,23.55,23.55
PETRONET,11.17,11.17
PTC,5.07,6.78
VAIBHAVGBL,23.90,23.90
BIOCON,78.59,84.32
MAHABANK,7.50,7.50
XPROINDIA,123.37,123.37
RKFORGE,21.45,21.14
DATAMATICS,22.76,26.38
CCL,42.66,42.66
EXCELINDUS,13.17,13.17
LT,30.09,30.70
APARINDS,40.06,40.06
AMBICAAGAR,85.21,85.21
CENTEXT,17.19,17.19
NIITLTD,26.15,25.09
ULTRACEMCO,48.50,48.24
TCS,23.51,23.51
COFORGE,57.12,56.23
GULFPETRO,7.00,7.00
GUFICBIO,56.51,56.51
ASTRAMICRO,55.14,55.14
WELENT,18.23,18.26
NTPC,13.78,13.78
KOTARISUG,18.84,32.56
JBMA,49.20,49.20
DWARKESH,29.86,29.86
SUPRAJIT,58.95,58.95
PATELENG,11.37,7.33
XCHANGING,17.16,17.16
JSWSTEEL,50.45,47.71
CONSOFINVT,5.68,5.68
JPPOWER,16.53,16.53
EVEREADY,28.73,26.85
GOKEX,34.36,34.36
SAKSOFT,23.47,23.47
ALLDIGI,19.16,19.08
IIFL,46.57,14.62
SHOPERSTOP,273.93,247.16
WELCORP,15.03,20.99
SSWL,15.04,15.04
CYBERMEDIA,,39.28
SURYALAXMI,23.03,24.99
JKPAPER,16.96,16.96
PRIMESECU,25.71,25.71
GRANULES,29.34,29.46
JSWHL,128.63,128.63
VHL,693.45,693.45
GEOJITFSL,15.11,15.11
GENUSPOWER,23.77,23.77
YESBANK,24.70,24.70
SPLIL,13.22,13.22
GOLDIAM,32.16,32.16
RML,85.49,48.81
HTMEDIA,13.56,11.39
SASKEN,41.70,41.70
FCSSOFT,116.88,116.92
IMPAL,15.53,15.12
SUZLON,34.02,34.02
AURIONPRO,31.30,31.30
BASML,18.19,18.19
TRIVENI,39.32,39.32
AIAENG,32.68,32.68
NAHARINDUS,21.85,20.38
ORIENTCER,43.59,43.59
EKC,10.64,11.16
VIMTALABS,37.53,37.53
KERNEX,32.43,32.43
NITINSPIN,10.32,10.32
ROHLTD,23.33,23.33
ENIL,43.85,43.85
GSPL,9.73,9.73
JAGRAN,12.70,12.70
SAKUMA,31.28,31.28
KEC,30.85,30.85
JKCEMENT,42.75,47.21
INDOTECH,21.57,21.57
M&MFIN,21.96,21.96
BLKASHYAP,64.83,152.35
CENTURYPLY,91.18,91.18
KEI,52.92,52.92
VAKRANGEE,111.88,111.88
SOLARINDS,79.99,80.00
GALLANTT,27.55,27.55
UTTAMSUGAR,10.34,10.34
KKCL,19.66,19.66
SUNTV,12.92,12.60
GPIL,21.86,21.87
RSYSTEMS,25.73,25.73
EMKAY,13.85,13.85
BALPHARMA,16.33,16.33
SWELECTES,32.60,32.60
KAMDHENU,9.85,9.85
RATNAMANI,28.77,28.77
PIONEEREMB,16.14,82.28
JKLAKSHMI,24.56,24.56
PFOCUS,,81.66
ALLCARGO,,28.76
MUNJALAU,16.32,19.23
EMAMILTD,28.33,28.33
TECHM,34.26,34.29
GRINDWELL,46.44,46.44
VOLTAMP,35.15,35.15
ATLANTAA,24.40,24.40
ANTELOPUS,21.28,21.28
ACE,26.69,26.69
ANANTRAJ,41.41,41.41
HGM,17.13,17.13
TALBROAUTO,22.26,22.26
ALICON,36.96,35.39
GEECEE,18.17,18.17
JMFINANCIL,12.94,12.94
FIEMIND,28.23,28.60
DCBBANK,8.38,8.38
INSPIRISYS,11.77,11.77
NAUKRI,57.56,62.99
VGL,22.32,22.32
GESHIP,7.79,7.79
TORNTPOWER,22.91,22.91
MANALIPETC,33.46,30.80
LTFOODS,22.91,22.91
DONEAR,15.58,15.58
RUCHIRA,6.78,6.78
SOBHA,151.05,151.05
VENUSREM,19.09,21.94
JINDRILL,8.39,8.39
HIRECT,57.78,57.78
NFL,49.50,49.50
PLASTIBLEN,13.34,13.34
PARACABLES,13.43,13.43
HBLENGINE,64.47,63.88
TANLA,15.10,15.10
AVTNPL,18.93,18.93
VEEDOL,18.66,18.06
LUMAXTECH,40.79,40.79
SARLAPOLY,10.41,10.41
PTL,12.88,12.88
WANBURY,18.68,18.68
AUTOIND,26.73,33.30
GANDHITUBE,13.85,13.85
PITTIENG,24.04,24.04
UNOMINDA,77.66,78.17
IZMO,24.79,23.79
HUBTOWN,25.96,25.96
TIIL,18.86,18.86
ORIENTBELL,100.90,100.90
PGIL,32.07,31.88
REDINGTON,11.65,16.19
FSL,37.54,37.96
PFC,3.43,3.43
SMSPHARMA,41.64,41.64
INDIANB,9.67,9.23
ORIENTALTL,6.97,14.38
PAGEIND,52.59,52.59
LAOPALA,23.01,23.01
JKTYRE,27.75,26.89
ASTRAL,80.21,80.21
EMBDL,2141.05,291.53
NAHARSPING,32.68,32.68
NAHARPOLY,13.17,13.17
NCLIND,27.68,23.32
BALAMINES,23.66,23.66
BANSWRAS,21.66,21.66
ICRA,32.58,32.58
PHOENIXLTD,48.70,49.15
NDLVENTURE,451.79,451.79
ZENITHSTL,30.80,30.80
BFUTILITIE,13.99,13.99
FORTIS,74.02,69.17
SRHHYPOLTD,9.71,9.11
WEBELSOLAR,17.48,17.48
TGBHOTELS,14.48,14.48
HILTON,16.10,16.10
INSECTICID,13.46,13.48
KMSUGAR,5.86,5.86
NAVINFLUOR,85.41,85.41
TIMETECHNO,22.32,22.32
NAGREEKEXP,30.40,30.40
NELCAST,21.98,22.72
V2RETAIL,98.85,98.85
DLF,61.77,81.43
TARMAT,62.45,62.45
MEGASOFT,9.09,9.09
ADSL,23.88,23.88
ALPA,6.15,6.15
CENTRALBK,7.76,7.87
ASIANTILES,54.30,54.30
TAKE,199.06,199.06
KPRMILL,40.01,40.01
CIEINDIA,18.94,18.94
MOTILALOFS,18.02,18.02
INDOWIND,118.12,118.12
NAGREEKCAP,1.99,1.99
MAGNUM,37.11,32.11
KSCL,15.60,15.60
CENTUM,510.21,152.00
POWERGRID,15.55,15.55
CCCL,5.48,
MAANALU,56.82,56.82
DELTACORP,6.89,19.62
BAJAJELEC,51.68,58.38
CERA,28.21,28.08
RELIGARE,44.77,44.77
BVCL,27.72,27.72
ADANIPORTS,29.49,29.26
EDELWEISS,17.97,17.97
RGL,20.86,18.29
KOLTEPATIL,40.52,40.52
KAUSHALYA,141.88,141.88
COLPAL,40.74,40.74
JYOTHYLAB,28.89,28.59
KALYANIFRG,25.76,25.76
HITECHCORP,29.42,26.44
ECLERX,37.22,37.22
TARIL,32.27,32.56
BRIGADE,27.73,27.73
MANAKSIA,7.15,6.97
DVL,270.76,270.76
PATINTLOG,12.33,12.33
PPAP,91.97,91.97
ARIES,11.62,11.62
AMBIKCO,11.85,11.85
CEATLTD,36.30,33.62
BIRLAMONEY,11.21,11.21
RPOWER,4.78,
JKIL,10.24,10.24
CORDSCABLE,15.44,15.44
KNRCON,4.19,4.09
HERCULES,93.09,93.09
ONMOBILE,,772.48
SEPC,57.39,40.50
BANG,17.02,17.02
IRB,3.74,29.02
NMDC,10.36,10.36
NAHARCAP,25.88,25.88
RECLTD,5.21,5.21
VGUARD,49.90,49.90
NESCO,21.44,21.44
DPSCLTD,138.09,138.09
TITAGARH,38.61,38.61
BAJAJFINSV,17.31,17.31
BAJAJ-AUTO,29.19,29.19
DIGISPICE,,41.04
GOKUL,24.35,24.35
RPGLIFE,21.43,41.27
ALMONDZ,29.23,29.23
LOTUSEYE,419.11,425.00
VINYLINDIA,20.38,20.38
UBL,94.15,91.37
ZFCVINDIA,57.67,57.67
20MICRONS,10.93,10.77
JOCIL,110.24,110.24
COUNCODOS,83.29,83.29
TPHQ,21.14,21.14
MAWANASUG,3.22,7.27
AJMERA,27.16,27.16
MHRIL,47.86,47.86
VINATIORGA,38.18,38.18
EXCEL,1134.14,1134.14
ADANIPOWER,22.71,22.71
NHPC,21.96,21.96
GLOBUSSPR,106.99,106.99
OIL,9.92,9.92
EXPLEOSOL,16.00,16.00
RTNPOWER,43.59,43.59
AMRUTANJAN,35.91,35.91
SUNTECK,36.32,36.32
ZYDUSWELL,41.51,42.28
DEN,7.08,7.08
SHILPAMED,57.90,55.34
SARDAEN,19.59,19.58
REFEX,25.69,25.72
GILLANDERS,7.10,10.66
AHLUCONT,28.88,28.89
DLINKINDIA,14.17,14.17
JSWENERGY,36.71,36.71
GODREJPROP,40.72,39.28
DBCORP,13.67,13.67
HINDCOPPER,72.92,72.92
BEARDSELL,11.13,11.13
MMTC,108.67,172.49
NESTLEIND,75.72,79.13
TRF,13.79,13.79
WHIRLPOOL,32.24,32.74
UNITEDTEA,12.10,12.10
JUBLFOOD,136.83,135.79
VASCONEQ,7.46,13.26
THANGAMAYL,95.52,95.52
EMMBI,31.09,31.09
HATHWAY,24.52,24.32
TEXMOPIPES,8.40,8.40
MANINFRA,16.36,16.36
LGBBROSLTD,19.43,20.70
PERSISTENT,65.26,65.26
ASIANHOTNR,3.18,
ISFT,11.64,11.64
KIRLOSBROS,32.43,31.95
TARAPUR,34.71,
KSL,12.07,12.07
SJVN,40.66,40.66
KIRLOSIND,10.30,10.65
MANAPPURAM,31.07,31.07
UMESLTD,40.89,40.89
TI,33.29,33.29
HMVL,5.86,5.86
IMFA,20.80,20.80
BLISSGVS,13.61,13.61
AHLEAST,20.31,20.31
IITL,49.01,49.01
BAJAJCON,26.25,26.38
PRAKASHSTL,43.99,43.99
GPPL,24.67,24.67
ADFFOODS,32.83,32.83
WELINV,147.00,147.00
WAAREEINDO,9.51,9.51
KILITCH,21.70,21.70
DEEPAKNTR,35.95,35.95
SASTASUNDR,,20.50
CPCAP,4.73,4.73
GREENPOWER,24.53,25.95
RAMKY,17.50,17.50
CANTABIL,27.42,27.42
WABAG,26.87,26.81
ASHOKA,2.66,2.66
BEDMUTHA,29.88,29.88
JWL,32.93,32.93
OBEROIRLTY,28.55,28.55
PRESTIGE,103.63,103.63
SHAH,36.49,36.49
CGCL,29.76,29.76
RESPONIND,26.26,26.26
COALINDIA,7.28,7.28
IOLCP,22.50,22.50
GRAVITA,40.09,40.09
JINDWORLD,38.58,38.58
PENIND,21.14,21.14
RPPINFRA,8.10,8.10
JAMNAAUTO,28.47,28.47
SUMEETINDS,8.02,56.57
MOIL,23.28,23.28
