Date,Symbol,Underlying Close Price (A),Underlying Previous Day Close Price (B),Underlying Log Returns (C) = LN(A/B),Previous Day Underlying Volatility (D),Current Day Underlying Daily Volatility (E) = Sqrt(0.995*D*D + 0.005*C*C),Underlying Annualised Volatility (F) = E*Sqrt(365)
18-DEC-2025,505163,749.30,749.00,0.0004,0.0300,0.0299,0.5712
18-DEC-2025,505212,126.80,124.60,0.0175,0.0362,0.0362,0.6916
18-DEC-2025,505216,2803.35,2848.95,-0.0161,0.0273,0.0272,0.5197
18-DEC-2025,505232,1187.45,1197.50,-0.0084,0.0248,0.0247,0.4719
18-DEC-2025,505250,78.40,76.74,0.0214,0.0309,0.0308,0.5884
18-DEC-2025,505285,712.00,712.00,0.0000,0.0135,0.0135,0.2579
18-DEC-2025,505299,607.25,612.85,-0.0092,0.0324,0.0323,0.6171
18-DEC-2025,505302,2212.20,2225.00,-0.0058,0.0319,0.0318,0.6075
18-DEC-2025,505320,147.35,147.35,0.0000,0.0128,0.0128,0.2445
18-DEC-2025,505336,0.56,0.57,-0.0177,0.0396,0.0395,0.7546
18-DEC-2025,505343,0.47,0.48,-0.0211,0.0418,0.0417,0.7967
18-DEC-2025,505358,172.40,171.70,0.0041,0.0249,0.0249,0.4757
18-DEC-2025,505502,1.57,1.60,-0.0189,0.0181,0.0181,0.3458
18-DEC-2025,505504,302.70,312.20,-0.0309,0.0195,0.0195,0.3725
18-DEC-2025,505515,11.19,12.45,-0.1067,0.0375,0.0382,0.7298
18-DEC-2025,505520,101.34,101.34,0.0000,0.0148,0.0148,0.2828
18-DEC-2025,505523,0.43,0.43,0.0000,0.0280,0.0279,0.5330
18-DEC-2025,505594,32.80,32.80,0.0000,0.0000,0.0000,0.0000
18-DEC-2025,505650,25.11,26.20,-0.0425,0.0375,0.0375,0.7164
18-DEC-2025,505681,592.85,596.10,-0.0055,0.0213,0.0212,0.4050
18-DEC-2025,505685,12.14,12.14,0.0000,0.0674,0.0672,1.2839
18-DEC-2025,505690,872.00,850.70,0.0247,0.0349,0.0349,0.6668
18-DEC-2025,505693,10.43,10.48,-0.0048,0.0350,0.0349,0.6668
18-DEC-2025,505703,158.35,150.85,0.0485,0.0242,0.0244,0.4662
18-DEC-2025,505710,75.00,75.29,-0.0039,0.0233,0.0233,0.4451
18-DEC-2025,505712,216.45,218.15,-0.0078,0.0314,0.0313,0.5980
18-DEC-2025,505725,59.12,59.65,-0.0089,0.0226,0.0225,0.4299
18-DEC-2025,505729,67.84,69.36,-0.0222,0.0289,0.0289,0.5521
18-DEC-2025,505737,576.15,580.35,-0.0073,0.0281,0.0280,0.5349
18-DEC-2025,505750,294.45,297.20,-0.0093,0.0339,0.0339,0.6477
18-DEC-2025,505807,586.05,586.05,0.0000,0.0267,0.0267,0.5101
18-DEC-2025,505827,375.00,375.35,-0.0009,0.0193,0.0192,0.3668
18-DEC-2025,505840,29.90,29.04,0.0292,0.0321,0.0321,0.6133
18-DEC-2025,505872,416.50,421.80,-0.0126,0.0310,0.0309,0.5903
