MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,NJ,943ECL28,SEC RED NCD 9.43% SR. VI,       996.99,       996.00,       996.90,       995.90,       995.90,                   149440.00,150, ,3,      1074.00,       822.00
N,NK,985ECL28,SEC RED NCD 9.85% SR. VII,      1027.50,      1015.00,      1015.00,      1015.00,      1015.00,                    10150.00,10, ,1,      1098.00,       941.00
N,NL,797IGT31,SEC RE NCD 7.97% SR.VI,      1110.00,      1011.05,      1011.05,      1011.05,      1011.05,                     1011.05,1, ,1,      1110.00,       980.00
N,NL,842IIFL26,SEC RE NCD 8.42% SR.V,       990.96,       985.01,       992.98,       985.01,       992.10,                    69118.25,70, ,7,       999.89,       945.25
N,NL,85CIFC27,SEC RE NCD 8.50% SR 3,      1068.60,      1077.20,      1077.25,      1077.20,      1077.25,                   215445.00,200, ,2,      1090.00,      1000.00
N,NM,1030SFIL28,SEC RE NCD 10.30% SR.VII,       637.00,       640.25,       640.25,       640.25,       640.25,                    10884.25,17, ,3,      1038.00,       520.00
N,NN,729IRFC26,TAX FREE  7.29% SR. 107A,      1020.00,      1027.99,      1027.99,      1020.00,      1020.00,                    30759.80,30, ,2,      1079.90,       980.09
N,NN,865LTF26,SERENCD 8.65% SR.VI OP12,      1007.10,      1011.00,      1011.50,      1011.00,      1011.00,                   176974.50,175, ,3,      1156.40,       990.11
N,NO,764IRFC31,TAX FREE  7.64% SR. 108A,      1104.90,      1105.90,      1105.90,      1105.00,      1105.50,                  1838590.19,1663, ,7,      1170.00,      1085.20
N,NP,SCLZC26E,SEC RE NCD SR VI,      1193.76,      1196.65,      1196.65,      1196.00,      1196.00,                   119606.50,100, ,2,      1197.00,      1005.20
N,NQ,875IIFL26A,SEC RE NCD 8.75% SR.III,      1063.05,      1075.00,      1075.00,      1067.80,      1067.80,                   122905.03,115, ,4,      1075.00,       964.20
N,NR,1015ECL29,SEC RED NCD 10.15% SR. VI,      1021.00,      1020.00,      1021.00,      1020.00,      1021.00,                   345085.99,338, ,7,      1029.00,       965.00
N,NR,IIFLZC26A,SEC RE NCD 0% SR.IV,      1269.72,      1270.00,      1270.00,      1270.00,      1270.00,                    17780.00,14, ,2,      1279.90,      1112.20
N,NU,IIFLZC28A,SEC RE NCD 0% SR.VII,      1240.00,      1265.09,      1265.09,      1235.00,      1235.00,                    56898.96,45, ,2,      1272.00,      1035.45
N,NV,1003SCL30A,SEC RE NCD 10.03% SR X,       769.99,       769.99,       769.99,       769.99,       769.99,                     1539.98,2, ,2,       950.01,       651.00
N,NW,IIFL210425,IIFL TR I SR II,      1050.70,      1049.80,      1049.80,      1049.80,      1049.80,                     8398.40,8, ,1,      1050.80,       977.00
N,NX,85IFL26,SEC RE NCD 8.5% SR.III,      1032.00,      1199.00,      1199.00,      1022.02,      1022.02,                    32156.16,28, ,2,      1199.00,       975.00
N,NZ,865IFL28,SEC RE NCD 8.65% SR.V,       981.06,       981.07,       981.07,       980.00,       980.00,                    90198.52,92, ,3,       999.90,       908.00
N,NZ,890SFIL23A,SEC RE NCD 10.03% SR.VIII,       660.00,       660.00,       660.00,       660.00,       660.00,                     6600.00,10, ,1,       925.00,       550.50
N,NZ,965SCL25F,SEC RE NCD 10.25% SR XII,       850.00,       850.00,       850.00,       850.00,       850.00,                   144500.00,170, ,9,      1060.00,       721.10
N,Y0,975IIFL28,IIFL 9.75% TR I SR VI,      1066.60,      1068.45,      1068.45,      1068.45,      1068.45,                    37395.75,35, ,1,      1068.45,       900.00
N,Y0,9IIFL28,SEC RE NCD 9% SR.VI,      1015.00,      1013.80,      1016.00,      1013.75,      1016.00,                  1110165.75,1094, ,5,      1055.00,       920.00
N,Y3,1025IIFL30,IIFL 10.25% TR I SR IX,      1050.00,      1050.00,      1050.00,      1050.00,      1050.00,                    52500.00,50, ,1,      1120.00,      1000.00
N,Y8,948SCL26B,SEC RE NCD 9.48% SR V,       985.00,       965.00,       980.00,       965.00,       980.00,                   292875.00,300, ,3,       988.00,       910.20
N,YL,94SFL28,SEC RED NCD 9.40% SR. V,      1261.00,      1065.00,      1074.00,      1065.00,      1072.09,                   262054.90,245, ,11,      1264.48,      1023.00
N,YO,965SCL26,SEC RE NCD 9.65% SR I,      1062.58,      1062.92,      1062.92,      1062.92,      1062.92,                    15943.80,15, ,2,      1070.99,       920.50
N,YS,97SFL28,SEC RED NCD 9.70% SR. V,      1080.03,      1078.00,      1078.00,      1077.00,      1077.00,                   134722.50,125, ,4,      1169.00,       945.00
N,YW,957ICCL25,SEC RED NCD 9.30% SR. II,      1084.95,      1084.00,      1084.00,      1084.00,      1084.00,                    23848.00,22, ,1,      1100.00,      1020.00
N,ZC,SFLZC26A,SEC RED NCD SR.X,      1808.00,      1808.50,      1811.00,      1808.50,      1810.00,                   396104.00,219, ,5,      1985.00,      1390.00
N,ZF,SCL310524,SEC RE NCD SR III,      1138.00,      1120.20,      1120.20,      1120.20,      1120.20,                    22404.00,20, ,1,      1138.32,       899.70
N,ZM,925SCL29A,SEC RE NCD 9.25% SR VIII,       977.00,       975.00,       975.00,       975.00,       975.00,                    18525.00,19, ,1,       977.00,       870.00
