target_date,as_of,mode,ticker,ret_oc,exp_oh,dd_ol,buy_win,sell_win,opt_style,atr_points,atr_pct,buy_thr,sell_thr,buy_soft,sell_soft,direction_score,strength
2025-12-12,2025-12-12,aggressive,M&M.NS,0.003874118974963696,0.008075543854661792,-0.0011185282983729686,1,0,both,60.892857142857146,0.01661288229530445,0.007475797032887002,0.007475797032887002,0.4801000597371565,0.0664977508055465,0.41360230893161004,0.4801000597371565
2025-12-12,2025-12-12,aggressive,MARUTI.NS,0.016863613983259477,0.01772525849335303,-6.154603643525357e-05,1,0,both,256.57142857142856,0.0157909544911022,0.00710592952099599,0.00710592952099599,1.0,0.00384943220874921,0.9961505677912508,1.0
2025-12-12,2025-12-12,aggressive,NESTLEIND.NS,0.01583268976876538,0.017227235438884332,-0.0029532203330086136,1,0,both,18.185721261160715,0.014918557228187626,0.006713350752684432,0.006713350752684432,1.0,0.19551225886733403,0.804487741132666,1.0
2025-12-12,2025-12-12,aggressive,NTPC.NS,0.006658389399578689,0.009445705692780698,0.0,1,0,both,4.149998256138393,0.012852271088827597,0.005783521989972419,0.005783521989972419,0.7258710914028467,0.0,0.7258710914028467,0.7258710914028467
2025-12-12,2025-12-12,aggressive,ONGC.NS,-0.0020125607024698636,0.003773559314399895,-0.006205432819870283,0,0,both,3.320713588169643,0.013923327413709195,0.006265497336169138,0.006265497336169138,0.26767826767476666,0.4401837546468184,-0.17250548697205176,0.4401837546468184
2025-12-12,2025-12-12,aggressive,POWERGRID.NS,-0.005282995835790095,0.006603773584905661,-0.006415140403891509,0,0,both,3.9107186453683034,0.014757428850446428,0.006640842982700893,0.006640842982700893,0.4419635413494745,0.4293390944896384,0.012624446859836103,0.4419635413494745
2025-12-12,2025-12-12,aggressive,RELIANCE.NS,0.003675490709574207,0.005803456097903096,-0.003030740968662691,0,0,both,23.492876325334823,0.015148875151949738,0.006816993818377383,0.006816993818377383,0.37836528681262716,0.1975938400356253,0.18077144677700185,0.37836528681262716
2025-12-12,2025-12-12,aggressive,SBILIFE.NS,0.006908560841979374,0.009145141358877982,-0.004771359635157803,1,0,both,37.385716029575896,0.01858136979601188,0.008361616408205345,0.008361616408205345,0.48609109437547166,0.253611763415909,0.23247933095956264,0.48609109437547166
2025-12-12,2025-12-12,aggressive,SBIN.NS,-0.002950285285649586,0.0010351966873706005,-0.008281573498964804,0,1,both,15.835710797991071,0.016393075360239203,0.007376883912107642,0.007376883912107642,0.062368802612444076,0.4989504208995526,-0.4365816182871085,0.4989504208995526
2025-12-12,2025-12-12,aggressive,SUNPHARMA.NS,-0.008019911504424779,0.00210179691821073,-0.009402654867256638,0,1,both,27.128574916294642,0.015004742763437303,0.006752134243546786,0.006752134243546786,0.1383461776610841,0.6189091579117642,-0.48056298025068006,0.6189091579117642
2025-12-12,2025-12-12,aggressive,TATACONSUM.NS,0.006304240781104657,0.007792684182044986,-0.0035898569946418817,0,0,both,22.285714285714285,0.019512927731463202,0.008780817479158442,0.008780817479158442,0.3944296986289173,0.18170198861388095,0.21272771001503635,0.3944296986289173
2025-12-12,2025-12-12,aggressive,TATASTEEL.NS,0.025596617720187686,0.0292362393677836,-0.0011933902132898221,1,0,both,3.194286891392299,0.01905899030468648,0.008576545637108916,0.008576545637108916,1.0,0.06184257308165204,0.9381574269183479,1.0
2025-12-12,2025-12-12,aggressive,TECHM.NS,0.0021587456597222223,0.003492063492063492,-0.010349237351190477,0,0,both,25.378592354910715,0.016113391971371883,0.0072510263871173476,0.0072510263871173476,0.2140425556101025,0.6343462014075149,-0.42030364579741236,0.6343462014075149
2025-12-12,2025-12-12,aggressive,TITAN.NS,0.0092072154323187,0.013004577446163875,-0.0033552190804582668,1,0,both,62.37855747767857,0.016224135633969114,0.007300861035286102,0.007300861035286102,0.7916617191260591,0.20425104285596604,0.587410676270093,0.7916617191260591
2025-12-12,2025-12-12,aggressive,ULTRACEMCO.NS,0.02018971368897398,0.021495083108519712,-0.0008702462796971543,1,0,both,181.64285714285714,0.01580740206621331,0.00711333092979599,0.00711333092979599,1.0,0.0543734191656593,0.9456265808343407,1.0
2025-12-12,2025-12-12,aggressive,WIPRO.NS,0.0042389445222182085,0.0050867334266618495,-0.008246684579720616,0,0,both,3.802148001534598,0.0146518227419445,0.006593320233875026,0.006593320233875026,0.3428880035637236,0.5558949082605668,-0.21300690469684314,0.5558949082605668
