MKT,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,IND_SEC,CORP_IND,TRADES,HI_52_WK,LO_52_WK
Y, , ,Nifty500 Value 50,     15005.20,     14989.05,     14999.85,     14820.00,     14898.40,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,Nifty Top 20 EW,      9692.90,      9663.25,      9674.40,      9609.80,      9617.00,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,Nifty CoreHousing,     15630.15,     15619.45,     15619.45,     15468.35,     15508.55,0.00,0,Y, ,0,     17961.70,     13680.90
Y, , ,Nifty FinSerExBnk,     31731.45,     31693.30,     31704.15,     31227.75,     31303.00,0.00,0,Y, ,0,     32420.40,     21702.40
Y, , ,Nifty Housing,     11723.20,     11700.80,     11704.40,     11594.95,     11615.90,0.00,0,Y, ,0,     12386.30,      9839.70
Y, , ,Nifty IPO,      2029.75,      2027.95,      2028.30,      2011.80,      2016.20,0.00,0,Y, ,0,      2387.55,      1617.15
Y, , ,Nifty MS Fin Serv,     20585.00,     20564.70,     20565.35,     20255.55,     20305.55,0.00,0,Y, ,0,     21028.05,     12407.95
Y, , ,Nifty MS Ind Cons,     19107.55,     19097.05,     19102.65,     18940.95,     18982.30,0.00,0,Y, ,0,     20923.30,     14493.40
Y, , ,Nifty MS IT Telcm,     10339.65,     10319.85,     10331.50,     10238.40,     10284.90,0.00,0,Y, ,0,     11723.20,      7836.00
Y, , ,Nifty NonCyc Cons,     15959.60,     15951.85,     16023.00,     15896.65,     15920.55,0.00,0,Y, ,0,     18289.65,     13081.55
Y, , ,Nifty Rural,     15971.50,     15953.10,     16007.45,     15905.85,     15930.35,0.00,0,Y, ,0,     16370.10,     12304.35
Y, , ,Nifty Shariah 25,      8460.40,      8448.30,      8457.90,      8399.95,      8415.10,0.00,0,Y, ,0,      9449.55,      7121.55
Y, , ,Nifty Trans Logis,     25675.70,     25636.80,     25663.90,     25434.55,     25472.70,0.00,0,Y, ,0,     26459.70,     16828.35
Y, , ,Nifty50 Shariah,      4798.80,      4788.30,      4790.15,      4757.05,      4763.05,0.00,0,Y, ,0,      5677.90,      4235.90
Y, , ,Nifty500 LMS Eql,     17937.40,     17911.20,     17914.90,     17783.90,     17809.10,0.00,0,Y, ,0,     18838.10,     14014.40
Y, , ,Nifty500 Shariah,      7142.10,      7132.25,      7133.65,      7089.50,      7100.25,0.00,0,Y, ,0,      8238.85,      6004.55
Y, , ,Nifty500 Qlty50,     18967.55,     18951.30,     18954.30,     18817.30,     18860.35,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,Nifty500 LowVol50,     23038.35,     23030.30,     23061.90,     22890.30,     22931.20,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,Nifty500 MQVLv50,     31662.90,     31657.65,     31659.60,     31371.30,     31433.40,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,Nifty500 Flexicap,     10712.40,     10691.10,     10698.80,     10618.95,     10639.10,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,Nifty TMMQ 50,     41827.80,     41795.55,     41811.30,     41444.85,     41558.80,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,Nifty FPI 150,      1610.20,      1606.65,      1607.55,      1597.80,      1600.30,0.00,0,Y, ,0,      1627.85,      1346.50
Y, , ,Nifty SME Emerge,     14510.10,     14514.40,     14524.05,     14409.25,     14416.35,0.00,0,Y, ,0,     17223.65,     11930.10
Y, , ,Nifty Internet,      1437.30,      1433.75,      1434.90,      1395.15,      1398.90,0.00,0,Y, ,0,      1501.90,      1056.45
Y, , ,Nifty Chemicals,     28684.75,     28673.20,     28705.50,     28391.75,     28461.05,0.00,0,Y, ,0,     31895.45,     25227.25
Y, , ,Nifty Waves,      2038.90,      2044.10,      2051.35,      2031.45,      2047.80,0.00,0,Y, ,0,      2789.80,      1885.85
Y, , ,Nifty InfraLog,     11253.30,     11243.85,     11249.05,     11152.00,     11175.35,0.00,0,Y, ,0,     11820.05,      9210.40
Y, , ,Nifty500 Health,     18782.30,     18782.85,     18788.95,     18642.50,     18666.80,0.00,0,Y, ,0,     19594.10,     16294.60
Y, , ,India VIX,10.2500,10.2500,10.4275,9.6625,10.0625,0,0,Y, ,0,23.1875,9.3975
 , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , 
 , , ,NIFTY 50 Sec, , , , , , , , , , , , 
N,EQ,ADANIENT,ADANI ENTERPRISES LIMITED,      2278.90,      2270.00,      2276.80,      2232.10,      2247.90,               1472087723.50,654714,Y, ,34760,      2695.00,      2026.55
N,EQ,ADANIPORTS,ADANI PORT & SEZ LTD,      1512.60,      1512.60,      1512.60,      1494.20,      1499.00,               1685544007.60,1122212,Y, ,70462,      1549.00,      1010.75
N,EQ,APOLLOHOSP,APOLLO HOSPITALS ENTER. L,      7086.50,      7110.00,      7148.00,      7025.00,      7051.50,               2731150051.50,385236,Y, ,44017,      8099.50,      6001.00
N,EQ,ASIANPAINT,ASIAN PAINTS LIMITED,      2780.20,      2793.00,      2808.00,      2776.10,      2790.90,               2558631583.80,916244,Y, ,59237,      2985.70,      2124.75
N,EQ,AXISBANK,AXIS BANK LIMITED,      1284.80,      1277.10,      1277.60,      1216.90,      1219.60,              14226307916.20,11542048,Y, ,218357,      1304.00,       933.50
N,EQ,BAJAJ-AUTO,BAJAJ AUTO LIMITED,      8940.00,      8940.00,      9028.00,      8891.00,      9008.00,               2503879526.50,278902,Y, ,39633,      9490.00,      7089.35
N,EQ,BAJAJFINSV,BAJAJ FINSERV LTD.,      2070.50,      2066.10,      2067.80,      2029.00,      2035.20,               1034660231.80,506106,Y, ,44193,      2195.00,      1551.65
N,EQ,BAJFINANCE,BAJAJ FINANCE LIMITED,      1012.70,      1007.50,      1010.60,       996.50,       998.40,               3869237331.00,3861617,Y, ,132550,      9788.00,       849.00
N,EQ,BEL,BHARAT ELECTRONICS LTD,       390.75,       390.75,       391.20,       384.75,       388.00,               3368481433.90,8700626,Y, ,149347,       436.00,       240.25
N,EQ,BHARTIARTL,BHARTI AIRTEL LIMITED,      2069.70,      2070.10,      2106.60,      2070.10,      2102.00,              12075653201.70,5756692,Y, ,214465,      2174.50,      1559.50
N,EQ,CIPLA,CIPLA LTD,      1508.00,      1500.00,      1508.90,      1496.10,      1499.60,               1186104537.50,789492,Y, ,36785,      1673.00,      1335.00
N,EQ,COALINDIA,COAL INDIA LTD,       384.45,       384.00,       384.20,       378.35,       381.60,               1945900382.90,5109787,Y, ,78396,       417.25,       349.25
N,EQ,DRREDDY,DR. REDDY S LABORATORIES,      1280.60,      1285.90,      1285.90,      1272.00,      1276.90,               1187009721.50,928506,Y, ,32120,      1405.90,      1020.00
N,EQ,EICHERMOT,EICHER MOTORS LTD,      7121.50,      7120.00,      7121.50,      7035.50,      7061.50,               3576522451.50,505906,Y, ,40289,      7328.50,      4646.00
N,EQ,ETERNAL,ETERNAL LIMITED,       298.45,       298.20,       298.20,       282.65,       284.45,              16823564222.70,58633745,Y, ,364549,       368.45,       194.80
N,EQ,GRASIM,GRASIM INDUSTRIES LTD,      2821.00,      2822.00,      2832.70,      2786.20,      2799.10,               1534130770.90,545921,Y, ,35173,      2977.80,      2276.95
N,EQ,HCLTECH,HCL TECHNOLOGIES LTD,      1684.00,      1681.00,      1682.00,      1645.40,      1651.70,               3190010112.70,1929309,Y, ,80374,      2012.20,      1302.75
N,EQ,HDFCBANK,HDFC BANK LTD,       996.10,       990.10,       998.70,       990.10,       994.30,              19943698733.60,20049088,Y, ,307140,      2037.70,       939.10
N,EQ,HDFCLIFE,HDFC LIFE INS CO LTD,       772.70,       772.90,       782.20,       762.15,       764.35,               1648189706.95,2125078,Y, ,45749,       820.75,       584.30
N,EQ,HINDALCO,HINDALCO  INDUSTRIES  LTD,       847.85,       845.00,       845.00,       831.15,       837.15,               2270754407.85,2713249,Y, ,71704,       864.00,       546.45
N,EQ,HINDUNILVR,HINDUSTAN UNILEVER LTD.,      2293.50,      2293.40,      2302.70,      2276.00,      2281.10,               2876563734.70,1256042,Y, ,82714,      2422.00,      2244.70
N,EQ,ICICIBANK,ICICI BANK LTD.,      1365.20,      1364.00,      1368.70,      1355.50,      1366.00,              16854916855.00,12359741,Y, ,345540,      1500.00,      1186.00
N,EQ,INDIGO,INTERGLOBE AVIATION LTD,      4965.50,      4990.00,      5002.00,      4951.50,      4974.00,              11898951414.00,2389083,Y, ,107995,      6232.50,      3945.00
N,EQ,INFY,INFOSYS LIMITED,      1606.80,      1600.00,      1603.00,      1585.60,      1592.90,               8753533458.70,5499258,Y, ,220591,      1999.60,      1307.00
