MARKET,SERIES,SYMBOL,SECURITY,PREVIOUS CLOSE PRICE,OPEN PRICE,HIGH PRICE,LOW PRICE,CLOSE PRICE,NET TRADED VALUE,NET TRADED QTY,TRADES,52 WEEK HIGH,52 WEEK LOW,UNDERLYING
N,EQ,AONETOTAL,AONEAMC - AONETOTAL,        11.96,        12.06,        12.06,        11.90,        11.91,                  2722268.58,228057,2064,        12.49,         9.63,NIFTY TOTAL MARKET INDEX
N,EQ,AUTOBEES,NIPPONAMC - NETFAUTO,       283.33,       284.74,       284.99,       281.99,       282.72,                 29716378.85,105151,1835,       293.00,       197.07,NIFTY AUTO TRI
N,EQ,AUTOIETF,ICICIPRAMC - ICICIAUTO,        28.37,        28.58,        28.58,        28.26,        28.36,                  4376280.50,154451,1330,        28.96,        19.72,NIFTY AUTO INDEX
N,EQ,AXISBNKETF,AXISAMC - AXISBNKETF,       611.76,       610.50,       610.57,       607.39,       607.50,                   199414.57,328,25,       623.45,       485.00,NIFTY BANK
N,EQ,AXISBPSETF,AXISAMC - AXISBPSETF,        13.04,        13.43,        13.43,        13.04,        13.05,                  1132324.49,86758,325,        14.50,        12.00,NIFTY AAA BOND PLUS SDL APR 2026 50:50 INDEX
N,EQ,AXISCETF,AXISAMC - AXISCETF,       125.49,       127.37,       127.37,       125.21,       125.26,                   240863.86,1918,29,       131.85,       101.00,NIFTY INDIA CONSUMPTION INDEX
N,EQ,AXISGOLD,AXIS MF - AXIS GOLD ETF,       111.81,       109.42,       110.80,       109.42,       110.23,                248845989.68,2255433,5335,       112.07,        63.00,GOLD
N,EQ,AXISHCETF,AXISAMC - AXISHCETF,       149.49,       149.49,       149.49,       148.37,       148.49,                   206822.53,1389,60,       156.13,       127.43,NIFTY HEALTHCARE INDEX
N,EQ,AXISILVER,AXISAMC - AXISILVER,       191.20,       190.25,       193.00,       188.12,       192.24,                136616860.69,714883,3948,       196.13,        85.51,AXIS SILVER ETF
N,EQ,AXISNIFTY,AXISAMC - AXISNIFTY,       286.39,       294.98,       294.98,       283.92,       284.14,                  2048243.89,7194,153,       296.36,       236.80,NIFTY 50
N,EQ,AXISTECETF,AXISAMC - AXISTECETF,       418.00,       415.12,       415.65,       413.01,       414.65,                  1537013.41,3712,41,       490.10,       341.00,NIFTY IT INDEX
