Date, ISIN, Scrip Name, NSE Symbol, MWPL, NCL Open Interest ,NCL FutEq OI
18-DEC-2025,INE171A01029,FEDERAL BANK LTD,FEDERALBNK,338654719,150775000,67103991.5272
18-DEC-2025,INE758E01017,JIO FIN SERVICES LTD,JIOFIN,446457456,273314400,151724572.1661345
18-DEC-2025,INE136B01020,CYIENT LIMITED,CYIENT,12039544,5627425,3046617.12211725
18-DEC-2025,INE860A01027,HCL TECHNOLOGIES LTD,HCLTECH,145993539,28367850,17078084.464672
18-DEC-2025,INE935A01035,GLENMARK PHARMACEUTICALS,GLENMARK,22585180,21435750,12635644.6517325
18-DEC-2025,INE634S01028,MANKIND PHARMA LIMITED,MANKIND,16915220,4162725,2673115.72369875
18-DEC-2025,INE038A01020,HINDALCO  INDUSTRIES  LTD,HINDALCO,176136372,104652800,76768457.569356
18-DEC-2025,INE417T01026,PB FINTECH LIMITED,POLICYBZR,51720057,11592000,6281302.484296
18-DEC-2025,INE749A01030,JINDAL STEEL LIMITED,JINDALSTEL,54776702,22843750,13101272.7397
18-DEC-2025,INE021A01026,ASIAN PAINTS LIMITED,ASIANPAINT,52357280,24949000,12013963.971995
18-DEC-2025,INE171Z01026,BHARAT DYNAMICS LIMITED,BDL,13786716,14711925,4485867.07576325
18-DEC-2025,INE070A01015,SHREE CEMENT LIMITED,SHREECEM,1548028,539650,311554.088642
18-DEC-2025,INE142M01025,TATA TECHNOLOGIES LIMITED,TATATECH,27246569,23033600,10499230.478328
18-DEC-2025,INE202E01016,INDIAN RENEWABLE ENERGY,IREDA,119011160,111773100,46195564.586208
18-DEC-2025,INE299U01018,CROMPT GREA CON ELEC LTD,CROMPTON,81400589,97630200,53435754.667476
18-DEC-2025,INE095N01031,NBCC (INDIA) LIMITED,NBCC,154894704,172341000,88421616.253295
18-DEC-2025,INE04I401011,KPIT TECHNOLOGIES LIMITED,KPITTECH,24568295,8070050,3558315.91943775
18-DEC-2025,INE121A01024,CHOLAMANDALAM IN & FIN CO,CHOLAFIN,63212268,24606875,13219163.3288625
18-DEC-2025,INE160A01022,PUNJAB NATIONAL BANK,PNB,447910372,523632000,231142023.14176
18-DEC-2025,INE044A01036,SUN PHARMACEUTICAL IND L,SUNPHARMA,109220043,26745600,15740002.096028
18-DEC-2025,INE117A01022,ABB INDIA LIMITED,ABB,7946564,4077375,2295186.45521125
18-DEC-2025,INE148I01020,SAMMAAN CAPITAL LIMITED,SAMMAANCAP,122326971,223548400,95717780.582352
18-DEC-2025,INE531F01015,NUVAMA WEALTH MANAGE LTD,NUVAMA,2444664,1063225,473953.59551775
18-DEC-2025,INE455K01017,POLYCAB INDIA LIMITED,POLYCAB,8350688,3765625,2276022.46606
18-DEC-2025,INE982J01020,ONE 97 COMMUNICATIONS LTD,PAYTM,95715382,34781150,18189200.9104275
18-DEC-2025,INE376G01013,BIOCON LIMITED.,BIOCON,90981174,92715000,42215136.7211
18-DEC-2025,INE134E01011,POWER FIN CORP LTD.,PFC,203602113,165252100,80692972.016163
18-DEC-2025,INE562A01011,INDIAN BANK,INDIANB,52862157,28395000,11666862.70712
18-DEC-2025,INE002A01018,RELIANCE INDUSTRIES LTD,RELIANCE,662701060,174910000,103412716.601905
18-DEC-2025,INE040H01021,SUZLON ENERGY LIMITED,SUZLON,1813533848,569039325,250176598.019019
18-DEC-2025,INE813H01021,TORRENT POWER LTD,TORNTPOWER,24646022,4940450,2811815.287186
18-DEC-2025,INE271C01023,DLF LIMITED,DLF,83667734,87530025,49717223.47799625
18-DEC-2025,INE476A01022,CANARA BANK,CANBK,504315430,340827750,133675596.036585
18-DEC-2025,INE062A01020,STATE BANK OF INDIA,SBIN,407307212,151455000,76185138.8963625
18-DEC-2025,INE548A01028,HFCL LIMITED,HFCL,147979599,206838600,89346056.637735
18-DEC-2025,INE009A01021,INFOSYS LIMITED,INFY,341789333,119186800,72472710.073488
18-DEC-2025,INE797F01020,JUBILANT FOODWORKS LTD,JUBLFOOD,48884739,42461250,20855656.5482625
18-DEC-2025,INE647A01010,SRF LTD,SRF,21205300,6671400,3397684.659976
18-DEC-2025,INE127D01025,HDFC AMC LIMITED,HDFCAMC,30518916,12522600,6243390.053931
18-DEC-2025,INE092T01019,IDFC FIRST BANK LIMITED,IDFCFIRSTB,761294821,578324075,340414360.500893
18-DEC-2025,INE572E01012,PNB HOUSING FIN LTD.,PNBHOUSING,28062406,28386150,15558691.3702025
18-DEC-2025,INE343H01029,SOLAR INDUSTRIES (I) LTD,SOLARINDS,3644817,2108400,976533.69772625
18-DEC-2025,INE280A01028,TITAN COMPANY LIMITED,TITAN,41744334,15091475,9498369.4744085
18-DEC-2025,INE663F01032,INFO EDGE (I) LTD,NAUKRI,60530911,13405875,8021631.54937125
18-DEC-2025,INE249Z01020,MAZAGON DOCK SHIPBUIL LTD,MAZDOCK,11364224,10197600,4403200.367943
18-DEC-2025,INE414G01012,MUTHOOT FINANCE LIMITED,MUTHOOTFIN,16050690,8328100,3442807.09443825
18-DEC-2025,INE111A01025,CONTAINER CORP OF IND LTD,CONCOR,48077012,62747500,35295239.49285
18-DEC-2025,INE016A01026,DABUR INDIA LTD,DABUR,89873278,42911250,19292196.9059375
18-DEC-2025,INE669E01016,VODAFONE IDEA LIMITED,IDEA,8713529091,10457364300,6023459755.16008275
18-DEC-2025,INE093I01010,OBEROI REALTY LIMITED,OBEROIRLTY,17614093,7939750,4284235.32264
18-DEC-2025,INE263A01024,BHARAT ELECTRONICS LTD,BEL,535778534,250299825,118540946.0554185
18-DEC-2025,INE047A01021,GRASIM INDUSTRIES LTD,GRASIM,38514157,20430000,12738320.088575
18-DEC-2025,INE238A01034,AXIS BANK LIMITED,AXISBANK,316147681,122738125,76676589.721925
18-DEC-2025,INE075A01022,WIPRO LTD,WIPRO,292948819,204216000,108371944.78656
18-DEC-2025,INE089A01031,DR. REDDY S LABORATORIES,DRREDDY,61006521,23501875,12788841.84211875
18-DEC-2025,INE296A01032,BAJAJ FINANCE LIMITED,BAJFINANCE,281116345,136622250,88224329.95998
18-DEC-2025,INE303R01014,KALYAN JEWELLERS IND LTD,KALYANKJIL,57552009,51529625,30206660.4270175
18-DEC-2025,INE931S01010,ADANI ENERGY SOLUTION LTD,ADANIENSOL,51907388,24120450,16187936.26195575
18-DEC-2025,INE917I01010,BAJAJ AUTO LIMITED,BAJAJ-AUTO,12547731,6831525,3290089.119336
18-DEC-2025,INE481G01011,ULTRATECH CEMENT LIMITED,ULTRACEMCO,11962066,4560350,2935831.0638315
18-DEC-2025,INE121E01018,JSW ENERGY LIMITED,JSWENERGY,80203755,71441000,43202525.78308
18-DEC-2025,INE849A01020,TRENT LTD,TRENT,33590487,17174000,8831563.690972
