Date, Symbol, Underlying Close Price (A), Underlying Previous Day Close Price (B), Underlying Log Returns (C) = LN(A/B), Previous Day Underlying Volatility (D), Current Day Underlying Daily Volatility (E) = Sqrt (0.995*D*D + 0.005* C*C), Underlying Annualised Volatility (F) = E*sqrt(365), Futures Close Price (G), Futures Previous Day Close Price (H), Futures Log Returns (I) = LN(G/H), Previous Day Futures Volatility (J), Current Day Futures Daily Volatility (K) = Sqrt (0.995*J*J + 0.005* I*I), Futures Annualised Volatility (L) = K*sqrt(365), Applicable Daily Volatility (M) = Max (E or K), Applicable Annualised Volatility (N) = Max (F or L)
18-Dec-25,SHREECEM,25645.05,26045, -0.01547524,  0.01282792,  0.01284269,  0.24535920,25755,26080, -0.01253995,  0.01295313,  0.01295096,  0.24742773,  0.01295096,  0.24742773
18-Dec-25,SHRIRAMFIN,869.45,864.2,  0.00605660,  0.02048298,  0.02043614,  0.39043183,869.55,867.95,  0.00184173,  0.02008946,  0.02003969,  0.38285766,  0.02043614,  0.39043183
18-Dec-25,SIEMENS,3074,3140.1, -0.02127500,  0.01978340,  0.01979106,  0.37810775,3080.4,3152.3, -0.02307289,  0.01976832,  0.01978630,  0.37801681,  0.01979106,  0.37810775
18-Dec-25,SOLARINDS,11772.05,11815.3, -0.00366722,  0.02041180,  0.02036232,  0.38902156,11802,11824, -0.00186236,  0.02055110,  0.02050014,  0.39165456,  0.02050014,  0.39165456
18-Dec-25,SONACOMS,486.45,489.9, -0.00706717,  0.02042186,  0.02037681,  0.38929845,486.85,491.45, -0.00940414,  0.02036393,  0.02032385,  0.38828654,  0.02037681,  0.38929845
18-Dec-25,SRF,3050.7,3033.3,  0.00571994,  0.01624730,  0.01621153,  0.30972087,3052.3,3036.7,  0.00512401,  0.01620193,  0.01616536,  0.30883872,  0.01621153,  0.30972087
18-Dec-25,SUNPHARMA,1745.85,1793.05, -0.02667654,  0.01179080,  0.01191147,  0.22756829,1749.5,1799.2, -0.02801209,  0.01148666,  0.01162771,  0.22214713,  0.01191147,  0.22756829
18-Dec-25,SUPREMEIND,3340.9,3345.2, -0.00128625,  0.02085388,  0.02080178,  0.39741737,3355.9,3359.1, -0.00095309,  0.02090905,  0.02085686,  0.39846974,  0.02085686,  0.39846974
18-Dec-25,SUZLON,51.78,51.94, -0.00308523,  0.02483384,  0.02477265,  0.47328074,51.87,51.98, -0.00211844,  0.02491549,  0.02485354,  0.47482625,  0.02485354,  0.47482625
18-Dec-25,SX40,48328.8,48330.79, -0.00004118,  0.00750440,  0.00748588,  0.14301755,48416.25,48425.55, -0.00019207,  0.00757908,  0.00755996,  0.14443282,  0.00755996,  0.14443282
18-Dec-25,SYNGENE,657.1,646.5,  0.01626302,  0.01685918,  0.01685619,  0.32203714,658.25,647.25,  0.01685218,  0.01697568,  0.01697496,  0.32430608,  0.01697496,  0.32430608
18-Dec-25,TATACONSUM,1171.5,1179.8, -0.00705995,  0.01359405,  0.01356927,  0.25924063,1174.8,1180.5, -0.00484016,  0.01333613,  0.01330706,  0.25423105,  0.01356927,  0.25924063
18-Dec-25,TATAELXSI,5013.5,4968.5,  0.00901629,  0.01767884,  0.01764607,  0.33712768,5040.5,4985.5,  0.01097158,  0.01823777,  0.01820876,  0.34787779,  0.01820876,  0.34787779
18-Dec-25,TATAPOWER,374.95,378.55, -0.00955548,  0.01601220,  0.01598639,  0.30541950,375.65,379.55, -0.01032848,  0.01647578,  0.01645072,  0.31429053,  0.01645072,  0.31429053
18-Dec-25,TATASTEEL,168.1,170.35, -0.01329610,  0.01703804,  0.01702124,  0.32519026,168.41,170.81, -0.01415035,  0.01718914,  0.01717538,  0.32813525,  0.01717538,  0.32813525
18-Dec-25,TATATECH,643.05,641.8,  0.00194575,  0.01515572,  0.01511855,  0.28883941,644.8,641.8,  0.00466346,  0.01576274,  0.01572662,  0.30045657,  0.01572662,  0.30045657
18-Dec-25,TCS,3280.65,3217.8,  0.01934368,  0.01227524,  0.01232061,  0.23538497,3285.1,3220.8,  0.01976732,  0.01198798,  0.01203932,  0.23001085,  0.01232061,  0.23538497
18-Dec-25,TECHM,1605.6,1579.35,  0.01648415,  0.01493592,  0.01494400,  0.28550478,1607.9,1582.6,  0.01585992,  0.01475991,  0.01476545,  0.28209347,  0.01494400,  0.28550478
18-Dec-25,TIINDIA,2578.6,2614.1, -0.01367325,  0.02111775,  0.02108708,  0.40286812,2588.4,2623.6, -0.01350750,  0.02132121,  0.02128918,  0.40672927,  0.02128918,  0.40672927
18-Dec-25,TITAGARH,772.35,774.55, -0.00284440,  0.02652517,  0.02645945,  0.50550710,772.15,775.3, -0.00407122,  0.02722607,  0.02715947,  0.51888086,  0.02715947,  0.51888086
18-Dec-25,TITAN,3919.3,3907.75,  0.00295131,  0.01298528,  0.01295455,  0.24749639,3923.2,3912.7,  0.00267997,  0.01280436,  0.01277365,  0.24404026,  0.01295455,  0.24749639
18-Dec-25,TMPV,345.8,346.35, -0.00158925,  0.01774855,  0.01770445,  0.33824306,347.05,346.6,  0.00129748,  0.01788728,  0.01784261,  0.34088255,  0.01784261,  0.34088255
18-Dec-25,TORNTPHARM,3759.5,3770.8, -0.00300121,  0.01326415,  0.01323274,  0.25281109,3761.4,3772.1, -0.00284065,  0.01308422,  0.01305314,  0.24937980,  0.01323274,  0.25281109
18-Dec-25,TORNTPOWER,1252.7,1274.45, -0.01721349,  0.02081162,  0.02079509,  0.39728971,1255.1,1279.4, -0.01917597,  0.02084849,  0.02084047,  0.39815667,  0.02084047,  0.39815667
18-Dec-25,TRENT,4030,4045.15, -0.00375226,  0.02220100,  0.02214692,  0.42311628,4042.2,4057.2, -0.00370398,  0.02222815,  0.02217404,  0.42363448,  0.02217404,  0.42363448
18-Dec-25,TVSMOTOR,3592.15,3638.9, -0.01293053,  0.01553542,  0.01552351,  0.29657617,3593.8,3643.9, -0.01384440,  0.01535422,  0.01534697,  0.29320351,  0.01552351,  0.29657617
18-Dec-25,ULTRACEMCO,11461,11539.95, -0.00686496,  0.01259477,  0.01257269,  0.24020087,11479,11568, -0.00772339,  0.01221355,  0.01219518,  0.23298858,  0.01257269,  0.24020087
18-Dec-25,UNIONBANK,154.15,153.05,  0.00716149,  0.02113081,  0.02108397,  0.40280872,154.08,153.55,  0.00344570,  0.02132506,  0.02127312,  0.40642236,  0.02127312,  0.40642236
18-Dec-25,UNITDSPR,1391.15,1424.9, -0.02397089,  0.01415414,  0.01422010,  0.27167468,1393.8,1422.1, -0.02010082,  0.01401782,  0.01405481,  0.26851679,  0.01422010,  0.27167468
18-Dec-25,UNOMINDA,1226.55,1248.8, -0.01797774,  0.02114505,  0.02113032,  0.40369421,1228.7,1251.5, -0.01838613,  0.02117433,  0.02116125,  0.40428511,  0.02116125,  0.40428511
18-Dec-25,UPL,744.4,746.25, -0.00248214,  0.01651481,  0.01647444,  0.31474369,745.25,747.75, -0.00334896,  0.01680242,  0.01676200,  0.32023747,  0.01676200,  0.32023747
18-Dec-25,VBL,473.6,470.85,  0.00582351,  0.01980170,  0.01975649,  0.37744727,474.6,471.95,  0.00559930,  0.01971109,  0.01966581,  0.37571479,  0.01975649,  0.37744727
18-Dec-25,VEDL,579.15,569.8,  0.01627609,  0.01918753,  0.01917404,  0.36631949,579.35,570.1,  0.01609500,  0.01942863,  0.01941334,  0.37089140,  0.01941334,  0.37089140
18-Dec-25,VOLTAS,1401.7,1380.5,  0.01524003,  0.01901631,  0.01899929,  0.36298101,1404.6,1383.1,  0.01542521,  0.01892272,  0.01890686,  0.36121504,  0.01899929,  0.36298101
18-Dec-25,WIPRO,263.85,261.15,  0.01028580,  0.01526504,  0.01524414,  0.29123894,264.31,261.28,  0.01153003,  0.01547285,  0.01545567,  0.29528011,  0.01545567,  0.29528011
18-Dec-25,YESBANK,21.44,21.56, -0.00558141,  0.02059436,  0.02054666,  0.39254333,21.48,21.57, -0.00418119,  0.02071217,  0.02066234,  0.39475353,  0.02066234,  0.39475353
18-Dec-25,ZYDUSLIFE,913.65,918.1, -0.00485875,  0.01446866,  0.01443646,  0.27580815,916.35,919.1, -0.00299654,  0.01466190,  0.01462669,  0.27944251,  0.01462669,  0.27944251
