INSTRUMENT,SYMBOL    ,EXP_DATE  ,OPEN_PRICE ,HI_PRICE   ,LO_PRICE   ,CLOSE_PRICE,OPEN_INT*      ,TRD_VAL           ,TRD_QTY          ,NO_OF_CONT       ,NO_OF_TRADE      
FUTSTK    ,BHEL      ,27/01/2026,00000280.55,00000282.90,00000278.10,00000280.55,000000003596250,      266167518.75,           950250,              362,              299
FUTSTK    ,BHEL      ,24/02/2026,00000283.10,00000283.60,00000279.75,00000280.65,000000000519750,       15524250.00,            55125,              021,              020
FUTSTK    ,BIOCON    ,30/12/2025,00000387.70,00000389.30,00000384.70,00000386.85,000000046170000,     1246947125.00,          3220000,             1288,             1094
FUTSTK    ,BIOCON    ,27/01/2026,00000387.85,00000391.45,00000387.50,00000389.40,000000002230000,      181261625.00,           465000,              186,              168
FUTSTK    ,BIOCON    ,24/02/2026,00000392.40,00000392.50,00000390.10,00000391.50,000000000242500,        7831875.00,            20000,              008,              008
FUTSTK    ,BLUESTARCO,30/12/2025,00001816.60,00001835.40,00001814.50,00001825.90,000000002199600,      429669857.50,           235625,              725,              682
FUTSTK    ,BLUESTARCO,27/01/2026,00001819.20,00001834.50,00001819.20,00001830.30,000000000188500,       53422655.00,            29250,              090,              074
FUTSTK    ,BOSCHLTD  ,30/12/2025,00036300.00,00036440.00,00035995.00,00036045.00,000000000203575,      591896000.00,            16375,              655,              541
FUTSTK    ,BOSCHLTD  ,27/01/2026,00036425.00,00036630.00,00036210.00,00036275.00,000000000010275,      160014750.00,             4400,              176,              114
FUTSTK    ,BOSCHLTD  ,24/02/2026,00036440.00,00036440.00,00036400.00,00036400.00,000000000000450,        1821000.00,              050,              002,              002
FUTSTK    ,BPCL      ,30/12/2025,00000370.70,00000373.30,00000366.60,00000368.65,000000027219450,     2027939381.25,          5486550,             2778,             2457
FUTSTK    ,BPCL      ,27/01/2026,00000370.95,00000373.45,00000367.50,00000369.70,000000001244250,      292614420.00,           790000,              400,              372
FUTSTK    ,BPCL      ,24/02/2026,00000371.05,00000372.20,00000366.70,00000368.05,000000000238975,       28512087.50,            77025,              039,              036
FUTSTK    ,BRITANNIA ,30/12/2025,00006075.50,00006122.00,00006057.00,00006100.50,000000002708750,     1399011812.50,           229250,             1834,             1754
FUTSTK    ,BRITANNIA ,27/01/2026,00006102.50,00006155.00,00006102.50,00006137.50,000000000047125,      105115000.00,            17125,              137,              125
FUTSTK    ,BRITANNIA ,24/02/2026,00006146.00,00006175.00,00006146.00,00006175.00,000000000003250,        4623562.50,              750,              006,              006
FUTSTK    ,BSE       ,30/12/2025,00002620.60,00002676.70,00002617.40,00002633.50,000000010531500,     8901238162.50,          3362250,             8966,             7507
FUTSTK    ,BSE       ,27/01/2026,00002631.70,00002691.80,00002631.70,00002647.10,000000001328625,     1801607925.00,           676125,             1803,             1284
FUTSTK    ,BSE       ,24/02/2026,00002650.00,00002702.50,00002650.00,00002661.90,000000000189000,       91335637.50,            34125,              091,              088
FUTSTK    ,CAMS      ,30/12/2025,00000757.10,00000757.50,00000723.30,00000735.20,000000008107500,     1660093200.00,          2242500,             2990,             2575
FUTSTK    ,CAMS      ,27/01/2026,00000759.30,00000762.80,00000737.00,00000740.10,000000001203000,      220642350.00,           296250,              395,              292
FUTSTK    ,CAMS      ,24/02/2026,00000758.20,00000758.20,00000739.00,00000740.20,000000000114000,       13450725.00,            18000,              024,              024
FUTSTK    ,CANBK     ,30/12/2025,00000146.90,00000151.02,00000146.90,00000150.35,000000122748750,     6528543502.50,         43530750,             6449,             5755
FUTSTK    ,CANBK     ,27/01/2026,00000147.90,00000151.50,00000147.90,00000150.99,000000020385000,     1431501862.50,          9504000,             1408,             1330
FUTSTK    ,CANBK     ,24/02/2026,00000149.50,00000152.10,00000149.50,00000151.75,000000002504250,      131862735.00,           870750,              129,              119
FUTSTK    ,CDSL      ,30/12/2025,00001501.50,00001511.70,00001474.00,00001478.40,000000008940450,     2161142270.00,          1453975,             3061,             2793
FUTSTK    ,CDSL      ,27/01/2026,00001516.30,00001517.80,00001481.30,00001485.80,000000001134300,      735606422.50,           491150,             1034,              846
FUTSTK    ,CDSL      ,24/02/2026,00001522.00,00001522.00,00001491.00,00001493.50,000000000152475,       62048347.50,            41325,              087,              080
FUTSTK    ,CGPOWER   ,30/12/2025,00000675.00,00000692.50,00000668.00,00000670.70,000000014035200,     3292153785.00,          4828000,             5680,             4904
FUTSTK    ,CGPOWER   ,27/01/2026,00000681.00,00000694.95,00000671.60,00000674.35,000000001088000,      455706760.00,           664700,              782,              714
FUTSTK    ,CGPOWER   ,24/02/2026,00000687.65,00000698.00,00000676.65,00000676.65,000000000091800,       24544217.50,            35700,              042,              040
FUTSTK    ,CHOLAFIN  ,30/12/2025,00001711.20,00001736.70,00001671.10,00001679.20,000000013540625,     4464254250.00,          2638125,             4221,             3696
