INSTRUMENT,SYMBOL    ,EXP_DATE  ,STR_PRICE  ,OPT_TYPE,OPEN_PRICE ,HI_PRICE   ,LO_PRICE   ,CLOSE_PRICE,OPEN_INT*      ,TRD_QTY          ,NO_OF_CONT       ,NO_OF_TRADE      ,NOTION_VAL        ,PR_VAL            
OPTIDX    ,BANKNIFTY ,30/12/2025,00057700.00,CE      ,00001643.85,00001643.85,00001450.00,00001488.00,000000000009275,              700,              020,              019,       41438591.25,        1048591.25
OPTIDX    ,BANKNIFTY ,30/12/2025,00057700.00,PE      ,00000081.05,00000091.95,00000067.40,00000076.70,000000000154770,           281575,             8045,             5915,    16269501020.50,       22623520.50
OPTIDX    ,BANKNIFTY ,30/12/2025,00057900.00,CE      ,00001452.35,00001502.00,00001285.00,00001309.00,000000000006790,             1680,              048,              039,       99535810.50,        2263810.50
OPTIDX    ,BANKNIFTY ,30/12/2025,00057900.00,PE      ,00000095.00,00000117.35,00000084.25,00000098.80,000000000088795,           447930,            12798,            10347,    25981139618.00,       45992618.00
OPTIDX    ,BANKNIFTY ,30/12/2025,00058100.00,CE      ,00001245.00,00001366.55,00001072.00,00001173.70,000000000011900,             6650,              190,              138,      394120077.75,        7755077.75
OPTIDX    ,BANKNIFTY ,30/12/2025,00058100.00,PE      ,00000129.15,00000148.60,00000106.85,00000126.65,000000000062965,           418005,            11943,             9513,    24340826543.25,       54736043.25
OPTIDX    ,BANKNIFTY ,30/12/2025,00058300.00,CE      ,00001120.30,00001174.25,00000915.25,00000999.60,000000000011830,            24570,              702,              567,     1457494204.25,       25063204.25
OPTIDX    ,BANKNIFTY ,30/12/2025,00058300.00,PE      ,00000152.95,00000189.25,00000135.95,00000162.90,000000000092190,           741650,            21190,            16245,    43362744866.00,      124549866.00
OPTIDX    ,BANKNIFTY ,30/12/2025,00058500.00,CE      ,00000980.00,00001033.00,00000766.00,00000848.15,000000000656425,           551950,            15770,            10682,    32764304784.75,      475229784.75
OPTIDX    ,BANKNIFTY ,30/12/2025,00058500.00,PE      ,00000195.40,00000241.00,00000172.60,00000208.30,000000001004675,          2664340,            76124,            51747,   156434689544.00,      570799544.00
OPTIDX    ,BANKNIFTY ,30/12/2025,00058700.00,CE      ,00000813.95,00000880.65,00000632.00,00000708.25,000000000134645,           598255,            17093,            11180,    35534495270.75,      416926770.75
OPTIDX    ,BANKNIFTY ,30/12/2025,00058700.00,PE      ,00000267.10,00000308.00,00000218.90,00000264.50,000000000160090,          1302175,            37205,            27415,    76792749544.00,      355077044.00
OPTIDX    ,BANKNIFTY ,30/12/2025,00058900.00,CE      ,00000726.95,00000738.70,00000512.55,00000578.10,000000000157185,          2762165,            78919,            54571,   164326466997.00,     1634948497.00
OPTIDX    ,BANKNIFTY ,30/12/2025,00058900.00,PE      ,00000329.95,00000385.00,00000277.10,00000338.05,000000000250985,          4142180,           118348,            82988,   245404557728.75,     1430155728.75
OPTIDX    ,BANKNIFTY ,30/12/2025,00059100.00,CE      ,00000547.00,00000610.00,00000407.65,00000464.45,000000000407225,          2574215,            73549,            54831,   153404636052.50,     1268529552.50
OPTIDX    ,BANKNIFTY ,30/12/2025,00059100.00,PE      ,00000424.35,00000479.00,00000347.15,00000423.60,000000000208880,          3268895,            93397,            69559,   194577287756.25,     1385593256.25
OPTIDX    ,BANKNIFTY ,30/12/2025,00059300.00,CE      ,00000459.50,00000493.45,00000318.95,00000366.65,000000000468300,          2035635,            58161,            42489,   121505332182.50,      792176682.50
OPTIDX    ,BANKNIFTY ,30/12/2025,00059300.00,PE      ,00000500.05,00000589.90,00000430.00,00000524.60,000000000222775,          1579865,            45139,            33086,    94505535398.75,      819540898.75
OPTIDX    ,BANKNIFTY ,30/12/2025,00059500.00,CE      ,00000399.00,00000399.00,00000247.70,00000285.45,000000001846600,          4331495,           123757,            80467,   259048432522.25,     1324480022.25
OPTIDX    ,BANKNIFTY ,30/12/2025,00059500.00,PE      ,00000610.00,00000717.20,00000529.25,00000642.60,000000001480220,          1981175,            56605,            38441,   119149936953.25,     1270024453.25
OPTIDX    ,BANKNIFTY ,30/12/2025,00059700.00,CE      ,00000280.00,00000308.85,00000191.00,00000219.95,000000000414960,          1023750,            29250,            21533,    61358032347.50,      240157347.50
OPTIDX    ,BANKNIFTY ,30/12/2025,00059700.00,PE      ,00000745.50,00000858.70,00000646.75,00000780.20,000000000215250,           240730,             6878,             5310,    14557055108.75,      185474108.75
OPTIDX    ,BANKNIFTY ,30/12/2025,00059900.00,CE      ,00000229.40,00000240.00,00000146.20,00000168.40,000000000312585,           790895,            22597,            16706,    47517722605.50,      143112105.50
OPTIDX    ,BANKNIFTY ,30/12/2025,00059900.00,PE      ,00000879.45,00001012.65,00000780.05,00000926.60,000000000082740,            55860,             1596,             1193,     3396711841.25,       50697841.25
OPTIDX    ,BANKNIFTY ,30/12/2025,00060100.00,CE      ,00000175.70,00000180.90,00000111.60,00000126.85,000000000287805,           684425,            19555,            14919,    41226413555.25,       92471055.25
OPTIDX    ,BANKNIFTY ,30/12/2025,00060100.00,PE      ,00001039.85,00001168.75,00000918.15,00001079.30,000000000062685,            25095,              717,              557,     1534757897.75,       26548397.75
OPTIDX    ,BANKNIFTY ,30/12/2025,00060300.00,CE      ,00000135.05,00000136.10,00000084.85,00000095.90,000000000171640,           627095,            17917,            13241,    37877517954.50,       63689454.50
OPTIDX    ,BANKNIFTY ,30/12/2025,00060300.00,PE      ,00001152.00,00001349.10,00001070.75,00001248.65,000000000038045,            11130,              318,              264,      684782763.00,       13643763.00
OPTIDX    ,BANKNIFTY ,30/12/2025,00060500.00,CE      ,00000095.15,00000101.20,00000064.80,00000072.30,000000000795760,          2182320,            62352,            36162,   132199230857.75,      168870857.75
OPTIDX    ,BANKNIFTY ,30/12/2025,00060500.00,PE      ,00001320.10,00001532.70,00001234.60,00001420.45,000000000079520,            85400,             2440,             1040,     5287060908.50,      120360908.50
OPTIDX    ,BANKNIFTY ,30/12/2025,00060700.00,CE      ,00000077.00,00000077.00,00000049.90,00000055.55,000000000156590,           495740,            14164,             9377,    30120731368.00,       29313368.00
OPTIDX    ,BANKNIFTY ,30/12/2025,00060700.00,PE      ,00001605.00,00001699.45,00001550.25,00001634.00,000000000015085,             1435,              041,              031,       89440438.50,        2335938.50
